1.	What federal law prohibits businesses from asking potential employees about their medical history?
A.	Americans with Disabilities Act 	
B.	Vocational Rehabilitation Act 	
C.	Fair Labor Standards Act
D.	National Labor Relations Act
2.	What types of businesses can be owned by thousands of stockholders?
A.	Open corporations  	 
B.	General partnerships 	
C.	Close corporations
D.	Sole proprietorships
3.	Consistent regulations and legal boundaries provide society with
A.	security and inequality. 	 
B.	chaos and turmoil. 	
C.	uniqueness and fairness.
D.	order and protection. 
4.	When engaging in international trade, countries follow the "general principles of law," which are based on the legal systems of
A.	political dynasties. 	 
B.	third-world countries.
C.	civilized nations.
D.	socialist governments. 
5.	A legal review that a law school publishes is an example of a _________ source of law.
A.	qualitative 	 
B.	secondary 	
C.	procedural
D.	quantitative 
6.	A civil lawsuit is initiated by a person who
A.	compromises his/her code of ethics. 
B.	violates a statutory law. 
C.	believes his/her rights have been violated. 
D.	hasn't met the requirements for appeal proceedings. 
7.	If one party in a lawsuit disagrees with a court's decision, the next step is to
A.	request mediation for a final judgment. 	 
B.	ask the Supreme Court for intervention. 	
C.	retry the case in the same court.
D.	file an appeal with a higher court. 
8.	Which of the following statements is true regarding the jurisdiction of the United States federal court district:
A.	When the U.S. is the defendant in a case, it cannot be tried in the U.S. federal court.  
B.	The U.S. federal court district hears cases in which the United States is a party. 
C.	Most personal injury cases are decided by judges in the U.S. federal court district. 
D.	A topic that the U.S. federal court doesn't hear involves the diversity of citizenship.  
9.	When the court orders a wrongdoer to pay a victim for his/her medical expenses and lost wages, the court is awarding __________ damages. 
A.	compensatory 	 
B.	punitive 	
C.	aggregate
D.	consequential 
10.	Which of the following is an example of a crime:
A.	Embezzlement 	 
B.	Defamation 	
C.	Unintentional negligence
D.	Breach of contract 
11.	When a business does not meet the safety needs of its visitors and employees, it is violating its civic duty to exhibit
A.	defensive conduct. 	 
B.	imprecise actions. 	
C.	indifferent attitudes.
D.	responsible behavior. 
12.	A business that is involved in a highly-publicized civil lawsuit might experience negative effects that hurt its financial status and
A.	creativity. 	 
B.	social responsibility. 	
C.	attributes.
D.	reputation. 
13.	Purchasing general commercial liability insurance is one way that a business can protect itself against lawsuits involving
A.	property loss. 	 
B.	credit problems. 	
C.	customer injury.
D.	personal disability. 
14.	A business can limit its liability by
A.	seeking legal counsel. 	 
B.	purchasing insurance. 	
C.	negotiating contract terms.
D.	assessing risk. 
15.	Does the court system recognize oral contracts as legal agreements?
A.	No, because there is no evidence that the agreement exists. 
B.	Yes, if the agreement does not violate statutory law. 
C.	Yes, when the contract involves an incompetent person. 
D.	No, because a non-compete clause must exist. 
16.	Which of the following types of contracts must be provided in a written format in order to be legally enforceable:
A.	Employment 	 
B.	Goods under $500 	
C.	Real estate
D.	Personal 
