1.	The primary reason that governments regulate business activities is to
A.	encourage businesses to expand their operations.  
B.	limit the level of competition in the marketplace. 
C.	protect the well-being of individuals and businesses. 
D.	change international trade initiatives. 
2.	The nature of an agent's work and the level of an agent's control are factors that determine if a(n) __________ relationship exists.
A.	arbitrator-civilian  
B.	principal-captive 
C.	contractor-subordinate
D.	master-servant 
3.	Nate was supposed to bring his report card back to school, signed by a parent. After forgetting three days in a row, his teacher gave him a detention. Nate doesn't complain about it because he knows he didn't follow the teacher's directions. Which of the following steps for following directions does this situation illustrate:
A.	Accepting responsibility 	 
B.	Knowing when to speak 	
C.	Not rushing
D.	Noting key words 
4.	What should business employees do first when preparing an oral presentation?
A.	Develop the visuals 
B.	Practice the speech 
C.	Organize the notes
D.	Identify the audience 
5.	What do businesspeople need to do to prepare effective written communications?
A.	Plan a meeting 
B.	Expect to revise 
C.	Use the right voice tone
D.	Work alone 
6.	Jana is in charge of raising money to build a new homeless shelter in her community.  She has decided to write a letter to local businesses asking for donations.  Because these letters arrive uninvited, she knows that her letter must begin well, or it will likely end up in the trash can.  Which choice is the best for beginning her letter?
A.	A series of boxes to check to make a $10, $50, or $100 contribution 
B.	A brief summary of Jana's qualifications for her job
C.	A quote stating the number of children who are homeless
D.	Details about the number of rooms the new shelter will have
7.	A simple written communication that briefly explains the status of a marketing activity is known as a(n) __________ report.
A.	proposal  
B.	progress
C.	employee
D.	abstract
8.	What type of analytical report is likely to contain the following statement? "Based on the facts presented, it is my recommendation that we continue with the existing course of action and complete the road closures and updates to enhance the city's infrastructure."
A.	Justification report  
B.	Market analysis report
C.	Due diligence report
D.	Troubleshooting report 
9.	The recommendations section of a well-written research report should be based on
A.	customary opinions 
B.	the researcher's values	
C.	the research findings
D.	psychological theories
10.	In business communications, information passed from subordinates to management is known as __________ communication.
A.	horizontal 
B.	upward 
C.	peer
D.	downward 
11.	What can employees do to help provide good service to customers?
A.	Offer discounts 	
B.	Lower prices 
C.	Plan events
D.	Resolve problems 
12.	Is it necessary to interpret all of a business's policies to customers?
A.	No, some business policies are clear-cut and need no explanation.
B.	No, customers don't need to have a business's policies explained.
C.	Yes, customers will not understand policies that are not explained.
D.	Yes, business policies cannot be followed if they have not been explained.
13.	Which of the following is a natural resource that can be renewed through people's efforts:
A.	Crude oil 
B.	Trees 	
C.	Water
D.	Mineral deposits 
14.	Market-clearing price can best be defined as the
A.	amount the seller must earn in order to make a profit. 
B.	price at which customers will buy the same amount that producers supply.
C.	price at which an item regularly sells in the competitive marketplace.
D.	amount of satisfaction a product provides a consumer.
15.	Which of the following is a true statement about globalization:
A.	It has had a minimal impact on the world. 
B.	It involves the flow of ideas across national borders. 
C.	Its pace is slowing down. 
D.	It is a purely economic term. 
16.	One of the ways businesses try to increase profits is by making the best use of scarce resources in order to increase
A.	cost of merchandise
B.	worker efficiency	
C.	risk
D.	expenses
17.	Simplified worker training, increased employee interest and satisfaction, increased production rates, and ease of transferring to similar positions are all __________ of labor specialization.
A.	categories 	
B.	risks 
C.	types
D.	advantages 
18.	Which of the following has an impact on trade balances:
A.	Domestic investments 	
B.	Cultural events of nations
C.	Trends in the world economy
D.	Standards of living 
19.	David is a business executive with a computer-software company based in England and is in Montreal to negotiate a large contract with a Canadian distributor. David isn't sure if he should present the distributor's CEO with a gift. Which of the following options provide the best advice for David to follow:
A.	David might consider giving a modest gift to the office after the contract negotiation is finalized.  
B.	Gift-giving is expected in Canadian business situations, so David should bring an expensive gift to show his appreciation. 
C.	David should not bring a gift under any circumstances because Canadians view gift-giving as a form of bribery. 
D.	Gift-giving is an acceptable practice in Canada, but David should not give a bottle of wine because this type of gift is offensive to Canadians.
20.	Which of the following is an example of a foreign businessperson making an offensive gesture in England:
A.	When socializing with British colleagues after work, a U.S. businessperson started talking about the German acquisition that s/he is coordinating for their company's Boston office. 
B.	Canadian Macy Alt knew that John Woodworth, a senior VP of a British corporation, was knighted by the queen, so she greeted him as "Sir John." 
C.	While discussing sports during a luncheon meeting in Liverpool, England, U.S. businessperson Colt Marconi made the victory sign with the palm of his hand facing him. 
D.	During a business luncheon in an English pub, a Canadian businesswoman ordered a pint of ale to drink before she ordered her food. 
21.	Venezuelan businesspeople tend to stand close to each other, and often touch the other person's arm or jacket during a conversation. This is an issue related to
A.	language
B.	the importance of time
C.	spatial preferences
D.	status
22.	While in Rio de Janeiro, Brazil, German businessperson Hans Dieseldorf wanted to greet an important Brazilian businessperson in Portuguese. Instead of saying, “Hello, Brazil is a beautiful country,” Hans said, “Hello, Brazil smells like onions.” This is an example of a(n)
A.	dining-etiquette blunder 
B.	inappropriate use of humor
C.	translation problem
D.	offensive nonverbal gesture.
23.	Because Japanese people value loyalty, compliance, and teamwork in their personal and business relationships, Japan is considered a(n)
A.	explicit society
B.	collectivist culture
C.	elitist nation
D.	ceremonial civilization
24.	In both business and social situations, it is impolite to ask a Saudi-Arabian man about his wife or daughter. What type of cultural difference does this situation illustrate?
A.	Emotional  
B.	Political
C.	Education
D.	Gender 
25.	What are the official languages of India?
A.	Czech and French 	 
B.	Hindi and Czech 	
C.	English and Hindi
D.	French and Hindi 
26.	The term "verbal communication" refers to the process of communicating with
A.	gestures	
B.	words
C.	pictures
D.	illustrations
27.	Which of the following demonstrates responsible behavior on the part of employees:
A.	Taking extra time for lunch
B.	Being cooperative with coworkers
C.	Making personal phone calls during the workday
D.	Letting others take the blame for their mistakes
28.	What is often a positive result of accepting responsibility for a poor decision?
A.	You demonstrate self-importance	 
B.	You control others' opinions
C.	You gain others' respect
D.	You reinforce skeptical attitudes
29.	What often increases when an individual has taken on too many commitments?
A.	Stress levels  
B.	Work quality 	
C.	Cultural sensitivity
D.	Analytical skills 
30.	Is self-control a skill that can be learned?
A.	Yes; you can learn self-control by working at it. 
B.	No; self-control is an inherited skill. 
C.	No; people are born with self-control. 
D.	Yes; you can learn self-control by watching others. 
31.	The main reason that employers offer criticism is so that workers can improve their
A.	ability to accept feedback
B.	ability to get along with others
C.	job performance
D.	personal situations
32.	During a negotiation, a non-verbal behavior that indicates a negotiator's high level of confidence is
A.	defensive facial expression 
B.	foot tapping
C.	arm crossing
D.	direct eye contact
33.	A person reacting to conflict by trying to persuade others to take a certain course of action is an example of
A.	problem solving 
B.	negotiating	
C.	yielding
D.	forcing
34.	Communicating effectively, showing a sense of teamwork, and being a good negotiator are all ways to demonstrate which component of emotional intelligence:
A.	Self-management 
B.	Social awareness
C.	Social management
D.	Self-awareness 
35.	The credit plan that does not charge interest for the privilege of using monthly credit is a(n) __________ credit plan.
A.	installment 
B.	regular
C.	revolving
 D.	long-term 
36.	Is it possible to buy insurance to protect your belongings if you don't own your home, but lease it from someone else?
A.	Yes, you can buy life insurance. 
B.	Yes, you can buy renter's insurance. 
C.	No, leased properties cannot be insured.
D.	No, insurance must be purchased by the owner.
